,gen_0,gen_1,gen_2,gen_3,gen_4,demand,price
0,1000,1000,509.75,0,0,2509.75,65
1,1000,1000,398.5500000000002,0,0,2398.55,65
2,1000,1000,351.3000000000002,0,0,2351.3,65
3,1000,1000,336.5,0,0,2336.5,65
4,1000,1000,333.9000000000001,0,0,2333.9,65
5,1000,1000,343.4499999999998,0,0,2343.45,65
6,1000,1000,415.1500000000001,0,0,2415.15,65
7,1000,1000,566.1500000000001,0,0,2566.15,65
8,1000,1000,775.75,0,0,2775.75,65
9,1000,1000,925.5,0,0,2925.5,65
10,1000,1000,805.0999999999999,200,0,3005.1,65
11,1000,1000,835.4499999999998,200,0,3035.45,65
12,1000,1000,970.9000000000001,0,0,2970.9,65
13,1000,1000,866.1499999999996,0,0,2866.1499999999996,65
14,1000,1000,784.25,0,0,2784.25,65
15,1000,1000,748.9000000000001,0,0,2748.9,65
16,1000,1000,754.4499999999998,0,0,2754.45,65
17,1000,1000,865.9499999999998,0,0,2865.95,65
18,1000,1000,837.6999999999998,200,0,3037.7,65
19,1000,1000,814.1999999999998,200,0,3014.2,65
20,1000,1000,808.3499999999999,0,0,2808.35,65
21,1000,1000,651.4000000000001,0,0,2651.4,65
22,1000,1000,575.6999999999998,0,0,2575.7,65
23,1000,1000,423.0500000000002,0,0,2423.05,65
24,1000,1000,282.8000000000002,0,0,2282.8,65
