,gen_0,gen_1,gen_2,gen_3,demand,mcp
0,1000.0,1000.0,509.75,0.0,2509.75,226.33
1,1000.0,1000.0,398.5500000000002,0.0,2398.55,85.0
2,1000.0,1000.0,351.3000000000002,0.0,2351.3,85.0
3,1000.0,1000.0,336.5,0.0,2336.5,85.0
4,1000.0,1000.0,333.9000000000001,0.0,2333.9,85.0
5,1000.0,1000.0,343.4499999999998,0.0,2343.45,85.0
6,1000.0,1000.0,415.1500000000001,0.0,2415.15,85.0
7,1000.0,1000.0,566.1500000000001,0.0,2566.15,87.3
8,1000.0,1000.0,775.75,0.0,2775.75,94.9
9,1000.0,1000.0,925.5000000000086,0.0,2925.5,94.9
10,1000.0,999.9999999999908,605.1000000000081,400.000000000001,3005.1,94.9
11,1000.0,1000.0,235.44999999999936,800.000000000001,3035.45,139.93
12,1000.0,1000.0,199.9999999999997,770.9000000000005,2970.9,116.87
13,1000.0,1000.0,266.14999999999964,600.0,2866.1499999999996,85.0
14,1000.0,1000.0,584.25,200.0,2784.25,85.0
15,1000.0,1000.0,548.9000000000001,200.0,2748.9,85.0
16,1000.0,1000.0,554.4499999999998,200.0,2754.45,85.0
17,1000.0,1000.0,665.9499999999998,200.0,2865.95,85.0
18,1000.0,1000.0,800.0000000000002,237.6999999999996,3037.7,85.0
19,1000.0,1000.0,400.00000000000017,614.1999999999998,3014.2,87.3
20,1000.0,1000.0,0.0,808.3499999999999,2808.35,139.93
21,1000.0,1000.0,0.0,651.4000000000001,2651.4,116.87
22,1000.0,1000.0,0.0,575.6999999999998,2575.7,94.9
23,1000.0,1000.0,0.0,423.0500000000002,2423.05,92.8
24,1000.0,1000.0,0.0,282.8000000000002,2282.8,85.0
