,gen_0,gen_1,gen_2,gen_3,demand,price
0,1000,1000,509.75,0,2509.75,130.0
1,1000,1000,398.5500000000002,0,2398.55,75.07
2,1000,1000,351.3000000000002,0,2351.3,75.07
3,1000,1000,336.5,0,2336.5,75.07
4,1000,1000,333.9000000000001,0,2333.9,75.07
5,1000,1000,343.4499999999998,0,2343.45,75.07
6,1000,1000,415.1500000000001,0,2415.15,75.07
7,1000,1000,566.1500000000001,0,2566.15,77.37
8,1000,1000,775.75,0,2775.75,84.97
9,1000,1000,925.5,0,2925.5,85.0
10,1000,1000,605.0999999999999,400,3005.1,85.0
11,1000,1000,635.4499999999998,400,3035.45,130.0
12,1000,1000,970.9,0,2970.9,85.0
13,1000,1000,866.1499999999996,0,2866.1499999999996,85.0
14,1000,1000,784.25,0,2784.25,65.0
15,1000,1000,748.9000000000001,0,2748.9,65.0
16,1000,1000,754.4499999999998,0,2754.45,65.0
17,1000,1000,865.9499999999998,0,2865.95,65.0
18,1000,1000,637.6999999999998,400,3037.7,105.0
19,1000,1000,614.1999999999998,400,3014.2,85.0
20,1000,1000,808.3499999999999,0,2808.35,84.97
21,1000,1000,651.4000000000001,0,2651.4,84.97
22,1000,1000,575.6999999999998,0,2575.7,84.97
23,1000,1000,423.0500000000002,0,2423.05,82.87
24,1000,1000,282.8000000000002,0,2282.8,85.0
