,gen_0,gen_1,gen_2,gen_3,demand,mcp,mcp_hat
0,1000.0,1000.0,509.75,0.0,2509.75,226.33000000000004,130.0
1,1000.0,1000.0,398.5500000000002,0.0,2398.55,85.0,75.06999999999994
2,1000.0,1000.0,351.3000000000002,0.0,2351.3,85.0,75.06999999999994
3,1000.0,1000.0,336.5,0.0,2336.5,85.0,75.06999999999994
4,1000.0,1000.0,333.9000000000001,0.0,2333.9,85.0,75.06999999999994
5,1000.0,1000.0,343.44999999999993,0.0,2343.45,85.0,75.06999999999994
6,1000.0,1000.0,415.1500000000001,0.0,2415.15,85.0,75.06999999999994
7,1000.0,1000.0,566.1500000000001,0.0,2566.15,87.29999999999995,77.37
8,1000.0,1000.0,775.7500000000001,0.0,2775.75,94.89999999999998,84.97000000000003
9,1000.0,1000.0,650.5,275.0,2925.5,94.93000000000006,85.0
10,1000.0,1000.0,339.83063727439975,665.2693627256001,3005.1,94.93000000000006,85.0
11,1000.0,1000.0,200.0,835.4499999999998,3035.45,142.43599999999992,85.0
12,1000.0,1000.0,535.4500000000096,435.44999999999055,2970.9,94.93000000000006,85.0
13,1000.0,1000.0,656.4911935994895,209.65880640051012,2866.1499999999996,94.93000000000006,85.0
14,1000.0,1000.0,784.25,0.0,2784.25,74.93000000000006,65.0
15,1000.0,1000.0,748.9000000000001,0.0,2748.9,74.93000000000006,65.0
16,1000.0,1000.0,754.4499999999998,0.0,2754.45,74.93000000000006,65.0
17,1000.0,1000.0,566.7115384615332,299.2384615384667,2865.95,74.93000000000006,65.0
18,1000.0,1000.0,338.46153846153834,699.2384615384615,3037.7,161.87,105.0
19,1000.0,1000.0,643.9454629504013,370.2545370495985,3014.2,94.93000000000006,85.0
20,1000.0,1000.0,808.3499999999999,0.0,2808.35,94.89999999999998,84.97000000000003
21,1000.0,1000.0,651.4000000000001,0.0,2651.4,94.89999999999998,84.97000000000003
22,1000.0,1000.0,575.6999999999999,0.0,2575.7,94.89999999999998,84.97000000000003
23,1000.0,1000.0,423.0500000000002,0.0,2423.05,92.79999999999995,82.87
24,1000.0,1000.0,282.8000000000002,0.0,2282.8,85.0,85.0
