,gen_0,gen_1,gen_2,demand,price
0,1300.0,1209.75,0.0,2509.75,65.0
1,1300.0,1098.5500000000002,0.0,2398.55,65.0
2,1300.0,1051.3000000000002,0.0,2351.3,65.0
3,1300.0,1036.5,0.0,2336.5,65.0
4,1300.0,1033.9,0.0,2333.9,65.0
5,1300.0,1043.4499999999998,0.0,2343.45,65.0
6,1300.0,1115.15,0.0,2415.15,65.0
7,1300.0,1266.15,0.0,2566.15,65.0
8,1300.0,1275.75,200.0,2775.75,65.0
9,1300.0,1300.0,325.5,2925.5,170.0
10,1300.0,1300.0,405.0999999999999,3005.1,170.0
11,1300.0,1300.0,435.4499999999998,3035.45,170.0
12,1300.0,1300.0,370.9000000000001,2970.9,170.0
13,1300.0,1300.0,266.1500000000001,2866.15,170.0
14,1300.0,1284.25,200.0,2784.25,65.0
15,1300.0,1248.9,200.0,2748.9,65.0
16,1300.0,1254.4499999999998,200.0,2754.45,65.0
17,1300.0,1300.0,265.9499999999998,2865.95,170.0
18,1300.0,1300.0,437.6999999999998,3037.7,170.0
19,1300.0,1300.0,414.1999999999998,3014.2,170.0
20,1300.0,1300.0,208.3499999999999,2808.35,170.0
21,1300.0,1151.4,200.0,2651.4,65.0
22,1300.0,1275.6999999999998,0.0,2575.7,65.0
23,1300.0,1123.0500000000002,0.0,2423.05,65.0
24,1300.0,982.8000000000002,0.0,2282.8,65.0
