,gen_0,gen_1,gen_2,gen_3,gen_4,demand,mcp
0,1000.0,1000.0,509.75,0.0,0.0,2509.75,246.9
1,1000.0,1000.0,398.5500000000002,0.0,0.0,2398.55,139.93
2,1000.0,1000.0,351.3000000000002,0.0,0.0,2351.3,139.93000000000006
3,1000.0,1000.0,336.5000000000001,0.0,0.0,2336.5,139.93000000000006
4,1000.0,1000.0,333.9,0.0,0.0,2333.9,139.93000000000006
5,1000.0,1000.0,343.44999999999914,0.0,0.0,2343.45,139.93000000000006
6,1000.0,1000.0,415.1500000000001,0.0,0.0,2415.15,139.93000000000006
7,1000.0,1000.0,566.1500000000007,0.0,0.0,2566.15,139.93000000000006
8,1000.0,1000.0,775.7499999999999,0.0,0.0,2775.75,139.93000000000006
9,1000.0,1000.0,925.5,0.0,0.0,2925.5,139.93000000000006
10,1000.0,1000.0,605.0999999999999,400.0,0.0,3005.1,139.93000000000006
11,1000.0,1000.0,235.44999999999982,800.0,0.0,3035.45,139.93000000000006
12,1000.0,1000.0,200.0,770.9000000000001,0.0,2970.9,109.26999999999998
13,1000.0,1000.0,495.2499999999969,370.90000000000276,0.0,2866.1499999999996,94.89999999999918
14,1000.0,1000.0,584.2500000000014,199.99999999999866,0.0,2784.25,85.0
15,1000.0,1000.0,548.9000000000015,199.99999999999866,0.0,2748.9,85.0
16,1000.0,1000.0,554.4500000000012,199.99999999999866,0.0,2754.45,85.0000000000075
17,1000.0,1000.0,665.9500000000012,199.99999999999866,0.0,2865.95,84.9999999999925
18,1000.0,1000.0,599.9999999999911,437.7000000000087,0.0,3037.7,130.02999999999588
19,1000.0,1000.0,199.99999999999113,814.2000000000087,0.0,3014.2,139.93000000000006
20,1000.0,1000.0,0.0,808.3499999999999,0.0,2808.35,139.93000000000006
21,1000.0,1000.0,0.0,651.4000000000003,0.0,2651.4,139.93000000000006
22,1000.0,1000.0,0.0,575.6999999999998,0.0,2575.7,139.93000000000222
23,1000.0,1000.0,0.0,423.0500000000002,0.0,2423.05,139.93000000000006
24,1000.0,1000.0,0.0,282.8000000000002,0.0,2282.8,107.64999999999998
