,0,1,2,3,4
0,1.0,2.0,2.0,2.0,2.0
1,1.0,2.0,2.0,2.0,2.0
2,2.0,2.0,2.0,2.0,2.0
3,1.0,1.0,2.0,2.0,2.0
4,1.0,1.0,2.0,2.0,2.0
5,2.0,1.0,2.0,2.0,2.0
6,2.0,1.0,2.0,2.0,2.0
7,1.0,1.0,2.0,2.0,2.0
8,1.0,2.0,2.0,2.0,2.0
9,2.0,1.0,2.0,2.0,2.0
10,1.0,1.0,2.0,1.5297647058824235,2.0
11,1.0,1.0,2.0,1.0,2.0
12,1.0,1.0,1.5283076923076921,1.0,2.0
13,1.0,1.0,1.3072307692307572,1.1164705882352848,2.0
14,1.0,1.0,1.1549230769230767,1.0,2.0
15,1.0,1.0,1.1549230769230767,1.0,2.0
16,1.0,1.0,1.1549230769230767,1.0,2.0
17,1.0,1.0,1.154923076923077,1.0,2.0
18,1.0,1.0,1.8476923076922447,1.5297647058823047,2.0
19,1.0,1.0,2.0,1.0,2.0
20,1.0,2.0,2.0,1.271294117647059,2.0
21,1.0,1.0,2.0,1.529764705882353,2.0
22,1.0,1.0,2.0,1.5297647058823787,2.0
23,1.0,1.0,2.0,1.554470588235294,2.0
24,1.0,1.0,2.0,1.2664705882352942,2.0
