,0,1,2
0,1.0,2.0,2.0
1,1.0,2.0,2.0
2,2.0,2.0,2.0
3,2.0,2.0,2.0
4,2.0,2.0,2.0
5,2.0,2.0,2.0
6,2.0,2.0,2.0
7,2.0,2.0,1.5560180995475115
8,2.0,1.8837633732231365,1.4139185976231223
9,2.0,2.0,1.5294117647058822
10,2.0,2.0,1.4761990950226245
11,2.0,2.0,1.2173755656108596
12,2.0,2.0,1.0
13,2.0,1.682248520710059,1.5560180995475112
14,2.0,2.0,1.0588235294117647
15,2.0,2.0,2.0
16,2.0,1.8973891883783527,1.5408089268594642
17,2.0,2.0,1.4395475113122174
18,2.0,2.0,1.7990045248868776
19,2.0,2.0,1.0
20,2.0,2.0,1.7091402714932127
21,2.0,2.0,1.5294117647058822
22,2.0,2.0,1.073846153846154
23,2.0,1.9999999999999791,1.5275113122171784
24,2.0,2.0,1.5294117647058822
