,gen_0,gen_1,gen_2,demand,mcp
0,1300.0,1209.75,0.0,2509.75,204.1
1,1300.0,1098.5500000000002,0.0,2398.55,137.63846153846157
2,1300.0,1051.3000000000002,0.0,2351.3,137.63846153846154
3,1300.0,1036.5,0.0,2336.5,137.63846153846154
4,1300.0,1033.9,0.0,2333.9,137.63846153846154
5,1300.0,1043.4499999999998,2.842170943040401e-14,2343.45,137.63846153846154
6,1300.0,1115.15,8.526512829121202e-14,2415.15,137.63844136237776
7,1300.0,1266.15,8.526512829121202e-14,2566.15,137.63844376871546
8,1300.0,1075.75,400.0000000000001,2775.75,137.6384605412936
9,1300.0,825.4999999999999,800.0000000000001,2925.5,137.63846005243596
10,1300.0,705.0999999999999,1000.0,3005.1,137.63846153846154
11,1300.0,735.4499999999998,1000.0,3035.45,137.63846153846154
12,1300.0,1070.9,600.0,2970.9,137.63846153846154
13,1300.0,1300.0,266.1500000000001,2866.15,170.0
14,1300.0,1284.25,200.0,2784.25,137.6384601993822
15,1300.0,1248.9,200.0,2748.9,137.6384596006319
16,1300.0,1254.4499999999998,200.0,2754.45,137.63846153846154
17,1300.0,965.9499999999998,600.0,2865.95,137.63846153846154
18,1300.0,737.6999999999998,1000.0,3037.7,137.63846153846154
19,1300.0,714.1999999999998,1000.0,3014.2,137.63846153846154
20,1300.0,708.3499999999999,800.0,2808.35,137.63846153846154
21,1300.0,951.4000000000001,400.0,2651.4,137.63846153846154
22,1300.0,1275.6999999999998,0.0,2575.7,137.63846153846154
23,1300.0,1123.0500000000002,0.0,2423.05,137.63842318707208
24,1300.0,982.8000000000002,0.0,2282.8,129.99997710659858
