,0,1,2
0,1.0,2.0,2.0
1,2.0,2.0000000000000004,2.0
2,2.0,2.0,2.0
3,1.0,2.0,1.5840965435250443
4,2.0,2.0,1.5853892500245477
5,2.0,2.0,1.5242495550411137
6,1.0,1.999999689598711,1.5028051924985586
7,1.0,1.999999726619291,1.502805220808454
8,1.0,1.9999999846589547,1.5028054181328665
9,1.0,1.9999999771380679,1.5028054241129871
10,1.0,2.0,1.2203742800273751
11,1.0,2.0,1.086413050289367
12,1.0,2.0,1.6192760180995476
13,1.0,1.0,2.0
14,1.0,1.9999999793987788,1.619276002345673
15,1.0,1.99999997018725,1.6192759953015519
16,1.0,2.0,1.6192760180995476
17,1.0,2.0,1.6192760180995476
18,1.0,2.0,1.1399676421240894
19,2.0,2.0,1.0774079234867704
20,1.0,2.0,1.5028054298642535
21,1.0,2.0,1.5028054298642535
22,1.0,2.0,1.515158145444308
23,2.0,1.9999994099786236,1.5151581454443077
24,1.0,1.9999996477938242,1.529411495371748
