,start_up_0,start_up_1,start_up_2,shut_down_0,shut_down_1,shut_down_2
0,0.0,0.0,-0.0,0.0,0.0,0.0
1,-0.0,-0.0,0.0,-0.0,-0.0,0.0
2,0.0,0.0,0.0,0.0,-3.637978807091713e-12,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,-1.5265566588595902e-12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,55000.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,2.248201624865942e-13,0.0
15,0.0,0.0,0.0,0.0,-2.248201624865942e-12,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,12000.0
23,0.0,0.0,0.0,0.0,-1.199040866595169e-12,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
