name,g_min,g_max,fuel,efficiency,variable_cost,r_up,r_down,k_up,k_down,f
KW DUISBURG HUCKINGEN BLOCK B,80.0,303.0,natural gas,0.363,5.5,303.0,303.0,17.1,17.1,0
INGOLSTADT 3,100.0,400.0,oil,0.308,5.5,400.0,400.0,20.7,20.7,0
INGOLSTADT 4,100.0,400.0,oil,0.308,5.5,400.0,400.0,20.7,20.7,0
Agg_PP_1,182.0,343.0,lignite,0.36,1.65,186.0,186.0,45.1,45.1,0
Agg_PP_2,184.0,453.0,hard coal,0.39,1.3,317.0,317.0,45.1,45.1,0
Agg_PP_3,195.0,450.0,hard coal,0.39,1.3,315.0,315.0,45.1,45.1,0
Agg_PP_4,182.0,406.0,hard coal,0.4,1.3,278.0,278.0,45.1,45.1,0
Agg_PP_5,254.0,592.0,hard coal,0.41,1.3,411.0,411.0,45.1,45.1,0
Agg_PP_6,210.0,510.0,natural gas,0.5,3.5,430.0,430.0,24.1,24.1,0
Agg_PP_7,200.0,460.0,natural gas,0.47,3.5,380.0,380.0,24.1,24.1,0
Agg_PP_8,230.0,566.0,natural gas,0.51,3.5,490.0,490.0,24.1,24.1,0
Agg_PP_9,210.0,487.0,natural gas,0.39,3.5,420.0,420.0,24.1,24.1,0
Agg_PP_10,190.0,417.0,natural gas,0.56,3.5,350.0,350.0,24.1,24.1,0
Agg_PP_11,200.0,454.0,natural gas,0.5,3.5,400.0,400.0,24.1,24.1,0
Agg_PP_12,170.0,408.0,natural gas,0.53,3.5,361.0,361.0,24.1,24.1,0
Agg_PP_13,170.0,419.0,natural gas,0.49,3.5,348.0,348.0,24.1,24.1,0
Agg_PP_14,172.0,427.0,natural gas,0.49,3.5,355.0,355.0,24.1,24.1,0
Agg_PP_15,165.0,404.0,natural gas,0.41,3.5,337.0,337.0,24.1,24.1,0
Agg_PP_16,153.0,371.0,natural gas,0.45,3.5,312.0,312.0,24.1,24.1,0
Agg_PP_17,140.0,544.0,natural gas,0.38,5.5,544.0,544.0,17.1,17.1,0
Agg_PP_18,130.0,478.0,natural gas,0.34,5.5,478.0,478.0,17.1,17.1,0
Agg_PP_19,119.0,442.0,natural gas,0.36,5.5,442.0,442.0,17.1,17.1,0
Agg_PP_20,107.0,418.0,natural gas,0.35,5.5,418.0,418.0,17.1,17.1,0
Agg_PP_21,113.0,446.0,natural gas,0.34,5.5,446.0,446.0,16.13,16.13,0
Agg_PP_22,106.0,409.0,natural gas,0.36,5.5,409.0,409.0,9.3,9.3,0
Agg_PP_23,10.0,38.0,natural gas,0.34,5.5,38.0,38.0,9.3,9.3,0
Agg_PP_24,110.0,425.0,oil,0.3,5.5,425.0,425.0,20.7,20.7,0
Agg_PP_25,120.0,451.0,oil,0.32,5.5,451.0,451.0,20.7,20.7,0
Agg_PP_26,122.0,467.0,oil,0.3,5.5,467.0,467.0,20.7,20.7,0
Agg_PP_27,103.0,406.0,oil,0.32,5.5,406.0,406.0,20.7,20.7,0
Agg_PP_28,54.0,208.0,oil,0.34,5.5,208.0,208.0,11.58,11.58,0
