,k
0,1.284698224852071
1,1.2959408284023668
2,1.0
3,1.3090441511151518
4,1.2959408284023994
5,1.3310887573964498
6,1.2959408284023661
7,1.2959408284023668
8,1.0
9,1.6153136094674558
10,1.3076568047337276
11,2.0
12,2.0
13,1.2959408284023668
14,1.2959408284023668
15,1.2959408284023668
16,1.2959408284023668
17,1.295940828402367
18,1.3662366863905324
19,1.3076568047337278
20,1.2959408284023697
21,1.2959408284023668
22,1.2959408284023668
23,2.0
24,1.9999999999999998
