,gen_0,gen_1,gen_2,demand,mcp
0,1300.0,1209.75,0.0,2509.75,85.0
1,1300.0,1098.5500000000002,0.0,2398.55,85.0
2,1300.0,1051.3000000000002,0.0,2351.3,85.0
3,1300.0,1036.5,0.0,2336.5,85.75692307692306
4,1300.0,1033.9,0.0,2333.9,84.23615384615384
5,1300.0,643.4499999999998,400.0,2343.45,84.99999999999982
6,1300.0,449.0,666.1500000000001,2415.15,84.99999999999984
7,1300.0,200.0,1066.15,2566.15,85.00000000000016
8,1300.0,600.0,875.75,2775.75,85.0
9,1300.0,900.0,725.5,2925.5,85.0
10,1300.0,1300.0,405.0999999999999,3005.1,85.0
11,1300.0,1300.0,435.4499999999998,3035.45,85.0
12,1300.0,1300.0,370.9000000000001,2970.9,85.0
13,1300.0,1300.0,266.14999999999964,2866.1499999999996,85.0
14,1300.0,1284.25,200.0,2784.25,85.0
15,1300.0,1248.9,200.0,2748.9,85.0
16,1300.0,1254.4499999999998,200.0,2754.45,85.0
17,1300.0,1300.0,265.9499999999998,2865.95,85.0
18,1300.0,1300.0,437.6999999999998,3037.7,85.0
19,1300.0,1200.0,514.1999999999998,3014.2,85.0
20,1300.0,800.0,708.3499999999999,2808.35,85.0
21,1300.0,400.0,951.4000000000001,2651.4,85.0
22,1300.0,0.0,1275.6999999999998,2575.7,85.0
23,1300.0,0.0,1123.0500000000002,2423.05,85.0
24,1300.0,0.0,982.8000000000002,2282.8,85.0
