,k
0,1.0
1,1.0
2,1.8055555555555556
3,1.8055555555555556
4,1.8055555555555556
5,1.0
6,1.805555555555558
7,1.0
8,1.8055555555555713
9,2.0
10,1.0
11,2.0
12,2.0
13,1.0
14,1.805555555555558
15,1.805555555555554
16,1.0
17,1.0
18,2.0
19,2.0
20,1.0
21,1.8055555555555567
22,1.8055555555555554
23,1.8055555555555556
24,1.8055555555555556
