,gen_0,gen_1,gen_2,demand,mcp
0,1300.0000000000002,1174.1935483870966,0.0,2474.193548387097,72.41
1,1090.3225806451615,1300.0,0.0,2390.3225806451615,73.0576923076923
2,1299.9999999999993,1048.387096774194,0.0,2348.3870967741937,65.76384615384616
3,1006.4516129032254,1300.0000000000005,0.0,2306.451612903226,73.05769230769232
4,1006.4516129032259,1300.0,0.0,2306.451612903226,73.05769230769229
5,1006.4516129032259,1300.0,0.0,2306.451612903226,73.05769230769229
6,1090.322580645162,1299.9999999999993,0.0,2390.3225806451615,73.0576923076923
7,1258.0645161290322,1300.0,0.0,2558.064516129032,73.0576923076923
8,1258.0645161290322,1300.0,209.67741935483872,2767.741935483871,85.76153846153846
9,1300.0,1300.0,293.5483870967742,2893.548387096774,85.76153846153846
10,1300.0,1300.0,377.4193548387097,2977.4193548387098,85.76153846153846
11,1300.0,1300.0,419.35483870967744,3019.3548387096776,90.33076923076923
12,1300.0,1300.0,335.48387096774195,2935.483870967742,85.0
13,1300.0,1300.0,251.61290322580646,2851.612903225807,85.0
14,1258.0645161290336,1299.999999999999,209.67741935483858,2767.741935483871,85.0
15,1216.1290322580644,1300.0,209.67741935483886,2725.8064516129034,85.0
16,1216.1290322580644,1300.0,209.67741935483886,2725.8064516129034,85.0
17,1300.0,1300.0,251.61290322580646,2851.612903225807,85.0
18,1300.0,1300.0,419.35483870967744,3019.3548387096776,90.91538461538461
19,1300.0,1300.0,377.4193548387097,2977.4193548387098,85.76153846153846
20,1258.0645161290327,1300.0,209.67741935483843,2767.741935483871,85.76153846153846
21,1132.2580645161295,1300.0,209.67741935483824,2641.935483870968,85.76153846153846
22,1258.0645161290322,1300.0000000000002,0.0,2558.064516129032,73.0576923076923
23,1090.3225806451617,1299.9999999999998,0.0,2390.3225806451615,73.0576923076923
24,964.516129032258,1300.0,0.0,2264.516129032258,72.0
