,0,1,2
0,1.0,2.0,2.0
1,1.0,2.0,2.0
2,2.0,2.0,2.0
3,2.0,2.0,2.0
4,2.0,1.9598774681018514,1.9999999999999991
5,1.3681498406904709,1.5591242603550286,2.0
6,2.0,1.5932685702817337,1.6945809428851066
7,1.0,2.0,1.0000000000000002
8,2.0,1.3424852071005917,1.000000000000018
9,2.0,1.6628173970341025,1.2449599099491555
10,2.0,2.0,1.2698642533936653
11,2.0,2.0,1.6192760180995474
12,2.0,2.0,1.6192760180995476
13,1.0,2.0,1.0
14,1.214655409490837,1.5908437086776337,1.3063917953236204
15,2.0,2.0,1.3496832579185516
16,2.0,1.1901775147928995,1.0
17,1.3681498406904717,2.0,1.3487728131701353
18,1.3362331343547724,1.8648082620531274,1.5158941008460567
19,1.3681498406904709,2.0,1.5294117647058822
20,2.0,2.0,1.1485122547031685
21,1.3681498406904709,2.0,1.5028054298642535
22,2.0,2.0,1.5028054298642535
23,2.0,2.0,1.8429899494164552
24,2.0,2.0,1.5294117647058822
