,gen_0,gen_1,gen_2,demand,mcp,mcp_hat
0,1300.0,1209.75,0.0,2509.75,204.1,130.0
1,1300.0,1098.5500000000002,0.0,2398.55,137.63846153846154,130.0
2,1300.0,1051.3000000000006,0.0,2351.3,137.63846153846157,130.0
3,1300.0,1036.5,0.0,2336.5,137.63846153846157,130.00000000000412
4,1300.0,1033.9000000000003,0.0,2333.9,135.03049696508188,127.39203542662034
5,1300.0,1043.4499999999998,0.0,2343.45,108.98153846153843,101.34307692307686
6,1300.0,715.1500000000002,400.0,2415.15,111.20091860677428,103.5624570683127
7,1300.0,466.14999999999975,800.0000000000006,2566.15,137.63846153846157,130.0
8,1300.0,475.74999999999955,999.9999999998697,2775.75,94.9,87.26153846153846
9,1300.0,625.5,1000.0,2925.5,115.72159234567823,108.08313080721666
10,1300.0,705.0999999999999,1000.0,3005.1,137.63846153846157,122.36153846153846
11,1300.0,1105.1000000000008,630.3499999999985,3035.45,137.63846153846157,137.63846153846154
12,1300.0,966.1499999996796,704.7499999999995,2970.9,137.63846153846157,137.63846153846154
13,1300.0,566.1500000000001,1000.0,2866.15,137.63846153846157,122.36153846153846
14,1300.0,848.899999999892,635.3499999999995,2784.25,111.04330260250777,111.04330260250774
15,1300.0,448.9000000000001,1000.0,2748.9,137.63846153846157,114.72307692307689
16,1300.0,848.9000000000011,605.5499999999982,2754.45,85.0,85.0
17,1300.0,565.9499999999998,1000.0,2865.95,137.63846153846157,122.36153846153846
18,1300.0,965.9500000000011,771.7499999999984,3037.7,128.85099857191483,128.85099857191483
19,1300.0,714.2000000000004,999.999999995773,3014.2,137.63846153846157,130.0
20,1300.0,508.3499999999999,999.9999999999683,2808.35,137.63846153846157,130.0
21,1300.0,551.3999999999991,799.9999999946465,2651.4,137.63846153846157,130.00000000000003
22,1300.0,875.6999999999992,399.9999999971536,2575.7,137.63846153846157,129.99999999999997
23,1300.0,1123.0500000000002,0.0,2423.05,137.63846153846157,129.99999999999997
24,1300.0,982.8000000000027,0.0,2282.8,130.0,130.0
